,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
FAM174B,0.23,0.3,0.19,0.6,-0.54,0.37,-0.74,0.7,-0.7,-0.28,-0.77,-0.39,0.38,-1.5,-2.09,0.47,0.2,0.65,1.58,-0.44,-0.67,0.03,0.58,-0.06,0.66,-0.96,0.52,-0.72
AP3S2,0.58,1.26,0.17,0.53,-0.33,0.87,-0.3,0.08,0.11,-0.35,-0.13,0.02,0.19,-0.48,-0.41,0.14,1.02,0.87,0.81,-0.05,-0.97,-0.62,0.17,0.02,0.11,-0.55,0.57,-0.37
SV2B,-0.98,1.69,2.02,-2.31,1.41,-1.63,0.23,-0.19,1.23,1.29,-0.1,-0.62,-0.58,1.18,2.27,0.67,-0.61,-2.27,1.61,0.39,-0.87,0.42,-0.61,1.92,0,0.89,0.01,0.15
RBPMS2,-0.22,1.87,1.75,-0.66,-0.4,-1.41,0,-0.72,0.69,1.37,-0.67,-0.14,1.88,-0.28,-1.01,0.1,0.86,-1.28,0.28,-0.55,-0.41,0.55,0.42,0.43,0.26,0.26,0.26,0.32
AVEN,-0.07,0.88,-0.18,0.43,0.83,0.35,0.01,-0.09,0.17,-0.18,-0.8,-0.04,0.12,0.61,0.27,-0.6,-0.65,-0.42,-0.67,-0.12,0.23,0.26,0.2,0.06,0.42,-0.41,0.88,0.23
ZSCAN29,0.47,-0.52,-0.29,0.18,-0.42,0.31,-0.45,-0.13,-0.31,-0.28,-0.18,0.04,0.89,-0.03,-0.73,-0.02,0.12,0.29,0.1,-0.29,0.46,-0.1,-0.19,-0.22,-0.03,-0.53,0.43,-0.29
VPS39,0.42,0,-0.15,0.29,0.53,0.59,-0.91,-0.27,-0.33,-0.33,0,-0.48,0.04,0.83,0.3,0.32,0.28,0.3,-0.81,0.73,0.82,-0.09,-0.09,-0.01,-0.44,-0.4,0.35,-0.45
CHP,0,0.8,0.17,-0.52,0,0.75,-1,-0.39,0,0.64,0,0.2,-0.2,-0.16,-0.37,0,-0.71,-0.26,0.59,0.52,0.79,0.02,0.15,-0.02,-0.46,-0.51,0.31,-0.92
CASC5,-2.52,-1.53,-2.21,-3.77,0.03,-3.14,-1.8,-1.81,-2.56,-1.85,-0.79,-1.43,-1.18,1.16,0.4,-1.84,0.27,-3.22,-3.38,-0.32,-1.27,-1.04,-1.47,-1.28,-1.02,-1.59,-2.26,-2.21
ATMIN,0.72,0.21,-0.15,0.08,0.03,-0.1,0,0.19,0,0.06,0.53,0,-0.12,0.51,0.3,-0.37,-0.2,-0.44,0.35,0.89,0.66,0.31,-0.14,-0.3,-0.53,0.06,-0.17,0.12
UNKL,-0.28,-0.07,0.48,0,-0.71,-0.55,-0.2,0.38,0.15,-0.28,-0.04,0.1,0.55,-0.06,-0.07,0.77,0.68,0.19,0,-0.92,0.55,0.24,-0.33,0,-0.06,0.17,0.47,-0.07
TMEM127,-0.01,0.3,0.03,-0.06,-0.34,0.47,-0.9,-0.35,0.03,-0.48,0.15,-0.1,0.41,0.47,0.1,0.59,1.28,0.15,-0.28,-0.55,0.65,0.34,-0.54,0.21,-0.18,-0.9,0.47,-0.76
