,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUCL1,1.72,0.69,-0.35,-5.24,-2.82,0.89,2.16,-7.35,-1.82,0.04,0.31,-3.52,-5.89,-6.24,-3.45,-3.47,-1.24,-0.88,3.6,-1.85,0,6.32,2.1,-3.38,-1.18,-0.86,2.92,2.69,-2.42,2.89,1.51,-1.14
CEACAM6,0.9,-0.62,2.7,-1.1,-2.38,0.47,-3.57,0.97,-0.83,3.27,-1.68,2.51,-2.48,3.5,1.09,-0.57,-1.9,-4.66,4.59,2.98,0.42,3.03,-3.91,0,0.96,-4.65,-0.54,0.05,-6.4,-1.56,-3.04,2.64
CEACAM6,1.13,-0.62,2.71,-1.21,-2.22,0.01,-2.78,1.12,0,3.59,-1.28,2.84,-2.98,3.69,1.02,-0.42,-1.88,-5.25,4.93,3.01,0.82,2.83,-4.04,-6.44,1.16,-4.7,-0.51,-0.01,-7.38,-1.47,-2.67,2.97
TFAP2B,2.04,2.27,-5.01,-0.07,-5.75,-3.57,2.35,0,0,-0.8,-1.47,0.53,-6.93,-7.11,-8.41,-3.9,1.45,1.25,-0.01,-0.11,-0.59,-0.03,-0.43,1.27,-0.06,0.91,1.79,1.02,2.71,-2.93,-1.05,1.81
PSCA,6.2,-2.53,-0.92,0,-2.36,-1.88,-1.92,4.88,-1.79,2.6,-2.12,1.08,3.45,0.81,1.25,-2.68,3.26,-0.02,0.05,2.16,5.6,5.91,-2.4,-2.64,1.98,2.45,-2.06,-0.38,-3.19,6.12,-0.96,-0.2
PSCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ3,-0.42,-1.94,-2.31,4.34,0.52,5.92,0.84,-0.54,0,0,3.48,-2.43,3.98,4.26,5.26,4.1,-3.51,-1.91,4.58,0,0.92,-1.73,-0.99,0,-1.86,-2.24,-2.64,1.2,1.55,4.24,-1.32,5.77
S100A7,0.18,-0.27,0,-1.25,0,-0.58,-0.23,0,6.15,0,-1.01,4.1,-0.9,-0.96,-0.25,-0.58,5.49,-0.42,-0.92,-0.74,3.23,8.32,0.92,0,0,0,5.69,2.69,0,-0.57,8.98,0
BEX1,4.21,9.06,-1.23,1.09,0,0,-0.04,-1.9,-0.45,-1.46,-0.28,-1.03,-1.15,-1.34,4.76,-0.71,2.06,-1.24,3.29,-1.4,-0.4,-0.41,10.02,0,0.77,0.81,1.04,-0.8,0,1.94,0.69,-0.8
BMPR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMPR1B,-5.56,-3.31,3.25,3.5,4.22,4.16,-3.39,2.11,3.49,-0.47,1.17,4.15,-3.97,4.81,-4.16,1.39,1.3,1.04,1.47,1.61,-2.43,-1.38,-2.06,-0.04,-1.4,0.13,-3.17,1.68,-1.37,0.18,1.05,-0.23
BMPR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALML5,6.09,-1.36,5,1.74,-1.43,-1.07,0.35,0.67,3.61,1.72,-1.09,1.53,-2.38,-2.02,-0.2,-2.39,5.03,-1.28,-0.09,6.32,-1.04,5.66,-0.68,-2.79,4.78,0.12,1.28,3.14,-1.88,-0.66,-0.55,-2.15
COL11A1,-4.82,-0.14,1.27,1.45,-2.9,-7.08,-3.42,-1.24,1.63,1.41,-1.14,0.01,-6.68,-4.53,-0.27,-1.47,1.43,-5.4,0.28,-0.34,0,1.77,1.13,3.6,-0.31,-5.47,-0.3,-0.99,0.82,-1.36,1.15,2.09
CEACAM6,0.9,-0.62,2.7,-1.1,-2.38,0.47,-3.57,0.97,-0.83,3.27,-1.68,2.51,-2.48,3.5,1.09,-0.57,-1.9,-4.66,4.59,2.98,0.42,3.03,-3.91,0,0.96,-4.65,-0.54,0.05,-6.4,-1.56,-3.04,2.64
CEACAM6,1.13,-0.62,2.71,-1.21,-2.22,0.01,-2.78,1.12,0,3.59,-1.28,2.84,-2.98,3.69,1.02,-0.42,-1.88,-5.25,4.93,3.01,0.82,2.83,-4.04,-6.44,1.16,-4.7,-0.51,-0.01,-7.38,-1.47,-2.67,2.97
CD24,1.54,-2.31,0.47,0.7,1.28,0.96,-1.76,-6.87,1.2,0.8,-3.82,1.34,-6.03,-4.76,-7.49,-0.78,-0.74,-2.02,0,-4.46,1.45,1.27,0.69,0.4,1.06,-1.76,1.97,2.54,0,0,-0.19,-1.01
CGA,0.55,-0.35,-1.38,-0.69,3.69,-0.03,0.36,-0.47,0.43,0.26,-0.52,2.07,0.21,1.38,-0.14,0.76,-0.02,0.29,7.72,-0.69,-0.31,-0.52,0.61,-1.33,8.25,-0.56,1.39,-0.47,-0.69,-0.9,-1.12,-0.49
CGA,0,0.06,-1.26,-0.91,5.29,0.06,0.41,-0.69,0.68,-0.28,-0.37,0,-0.01,0,-0.46,1.06,-0.42,0.96,9.48,-1.02,0,-0.08,1.33,-0.95,10.02,-0.14,2.82,0.57,-0.4,-0.96,0.21,0
CGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPINK1,0.02,-0.87,0.73,-0.13,-1.03,1.25,-1.99,-0.54,-0.02,0.74,0,-0.89,-1.16,-0.8,-2.05,1.03,0.8,0.45,-0.9,-0.25,7.02,1.17,2.22,-2.27,-0.05,-0.56,-1.13,-1.39,-1.08,11.18,1.13,-0.84
